=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2019.01.05 21:22:47 =~=~=~=~=~=~=~=~=~=~=~=
22097,11855,22713,11849
22097,11856,22713,11849
22097,11855,22713,11846
22098,11852,22714,11841
22097,11850,22714,11842
22096,11851,22714,11843
22096,11852,22714,11843
22097,11851,22714,11845
22097,11853,22713,11849
22097,11856,22713,11850
22097,11858,22713,11850
22097,11856,22714,11845
22098,11851,22715,11839
22097,11847,22714,11839
22097,11848,22714,11838
22096,11849,22714,11842
22097,11850,22714,11845
22097,11854,22714,11848
22096,11856,22713,11851
22097,11857,22713,11849
22098,11853,22713,11845
22098,11852,22714,11842
22097,11851,22715,11841
22097,11848,22714,11842
22097,11851,22714,11843
22097,11852,22714,11844
22097,11852,22714,11847
22097,11855,22713,11850
22097,11857,22714,11850
22098,11855,22714,11846
22098,11853,22714,11841
22098,11848,22714,11839
22097,11850,22714,11840
22097,11850,22715,11840
22097,11849,22714,11843
22097,11852,22713,11848
22097,11856,22713,11850
22098,11857,22713,11850
22097,11857,22713,11849
22097,11856,22714,11847
22097,11854,22714,11843
22097,11850,22715,11839
22097,11847,22714,11840
22097,11849,22715,11842
22097,11851,22714,11845
22097,11853,22713,11849
22098,11854,22713,11848
22097,11855,22714,11847
22098,11854,22714,11845
22097,11853,22714,11841
22097,11850,22714,11839
22097,11848,22714,11840
22097,11850,22714,11844
22097,11852,22714,11846
22097,11854,22713,11850
22097,11858,22713,11850
22098,11856,22713,11849
22097,11856,22714,11848
22097,11855,22714,11845
22097,11853,22714,11840
22097,11849,22714,11840
22097,11849,22715,11842
22097,11850,22714,11845
22097,11853,22714,11848
22098,11854,22714,11849
22098,11854,22714,11846
22098,11853,22714,11842
22098,11849,22716,11837
22098,11845,22716,11835
22097,11845,22716,11838
22097,11848,22715,11845
22096,11857,22713,11860
22097,11867,22713,11863
22096,11870,22712,11866
22097,11870,22713,11860
22097,11864,22713,11851
22097,11858,22714,11848
22096,11856,22714,11846
22096,11854,22713,11847
22096,11855,22714,11845
22097,11850,22713,11844
22098,11851,22713,11846
22096,11857,22711,11865
22094,11878,22709,11884
22092,11896,22708,11900
22090,11911,22707,11911
22090,11918,22706,11914
22089,11920,22706,11914
22088,11919,22705,11912
22089,11916,22705,11910
22088,11914,22705,11907
22088,11910,22705,11903
22089,11905,22705,11896
22089,11898,22706,11885
22090,11885,22709,11859
22103,11827,22743,11621
22149,11490,22795,11131
22171,11044,22820,10837
22171,10856,22824,10794
22169,10856,22828,10838
22162,10920,22831,10912
22156,11000,22830,10998
22143,11100,22827,11118
22081,11321,22823,11372
22083,11481,22830,11408
22085,11491,22832,11413
22088,11493,22832,11422
22075,11533,22831,11485
22082,11566,22830,11499
22082,11584,22826,11535
22079,11624,22823,11577
22077,11665,22822,11610
22077,11690,22822,11622
22079,11696,22821,11631
22088,11692,22820,11623
22073,11724,22808,11736
18764,20521,12595,23595
10821,23594,8900,23595
7943,23594,6270,23595
5546,23592,3759,23595
3233,23592,2178,23595
2057,23592,1862,23595
1922,23592,1796,23595
1915,23595,1826,23595
1974,23594,1923,23595
2122,23594,2202,23594
2444,23593,2702,23595
3049,23593,3614,23594
4076,23593,4802,23594
5268,23593,5978,23595
6310,23593,6686,23594
6669,23593,6373,23595
6307,23593,6088,23595
5694,23594,5071,23595
4983,23593,4578,23595
4497,23593,4212,23595
4249,23593,4203,23595
4289,23593,4201,23595
4265,23594,4205,23595
4349,23593,4711,23595
5158,23593,6207,23595
6898,23593,7865,23589
8257,23588,8816,23556
8958,22321,9068,23177
9064,21051,8985,23028
9010,21166,8997,23036
9056,20854,9141,22017
9291,19081,9614,18309
9798,14294,10253,11961
10418,7365,10809,5222
10926,1058,11189,271
11268,65535,11454,65535
11536,65535,11674,65535
11743,65535,11848,65535
11903,65535,12004,65535
12067,65535,12202,65535
